run_id,git_commit,dirty,scene,candidate,view,pos_x,pos_y,pos_z,target_x,target_y,target_z,up_x,up_y,up_z,focal,dir_x,dir_y,dir_z,screen_res,hit_fraction,median_hit_over_diagonal,p10_hit_over_diagonal,accepted,reject_reason,scene_diagonal
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,23,,-567.558960,-283.437134,40.872833,28.736725,-173.337936,96.449120,0.000000,1.000000,0.000000,50.000,0.979274,0.180812,0.091271,64,1.00000,0.33285,0.08418,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,24,,-567.047119,-228.948563,-15.381841,68.668846,161.604523,102.951439,0.000000,1.000000,0.000000,50.000,0.841532,0.516997,0.156644,64,1.00000,0.00181,0.00167,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,25,,-564.688965,-219.514816,-23.608297,166.736374,-103.059593,101.089188,0.000000,1.000000,0.000000,50.000,0.973855,0.155054,0.166028,64,1.00000,0.48773,0.16450,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,26,,-555.493774,-215.443954,7.439503,247.895844,-56.149017,100.662094,0.000000,1.000000,0.000000,50.000,0.974611,0.193245,0.113091,64,1.00000,0.41945,0.14579,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,27,,-560.367065,-190.028000,-26.695236,232.475006,31.052135,122.685204,0.000000,1.000000,0.000000,50.000,0.947770,0.264281,0.178571,64,1.00000,0.15661,0.08938,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,28,,-562.365112,-190.906418,23.486334,237.359497,184.604126,105.638168,0.000000,1.000000,0.000000,50.000,0.901293,0.423202,0.092585,64,1.00000,0.08507,0.06790,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,29,,-562.487854,-178.093796,-23.809242,320.106323,-174.130707,-139.791473,0.000000,1.000000,0.000000,50.000,0.991466,0.004452,-0.130289,64,0.99829,0.33319,0.08680,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,30,,-560.637268,-166.438812,8.727920,341.648773,24.443090,-114.146851,0.000000,1.000000,0.000000,50.000,0.969777,0.205160,-0.132066,64,1.00000,0.14886,0.06540,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,31,,-561.248596,-160.963074,-18.832848,370.259888,-77.139496,-233.917526,0.000000,1.000000,0.000000,50.000,0.970640,0.087345,-0.224120,64,1.00000,0.08845,0.06835,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,32,,-557.245728,-139.670166,-10.731803,386.607422,74.936668,-179.087326,0.000000,1.000000,0.000000,50.000,0.960689,0.218435,-0.171358,64,1.00000,0.05379,0.03568,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,33,,-494.117126,-139.853226,-3.840668,310.421906,307.451050,62.746956,0.000000,1.000000,0.000000,50.000,0.871724,0.484657,0.072148,64,1.00000,0.02955,0.02207,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,34,,-497.138123,-116.396225,1.830199,682.131836,-100.435379,-36.419846,0.000000,1.000000,0.000000,50.000,0.999383,0.013526,-0.032415,64,1.00000,0.04017,0.00450,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,35,,-410.149078,-174.630508,-86.824707,496.891602,-208.786652,56.056419,0.000000,1.000000,0.000000,50.000,0.987137,-0.037172,0.155498,64,1.00000,0.00137,0.00133,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,36,,-402.879944,-133.043594,-47.581200,-315.531128,-174.565430,-139.764816,0.000000,1.000000,0.000000,50.000,0.653758,-0.310768,-0.689944,64,1.00000,0.11992,0.06135,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,37,,-407.323669,-105.554253,34.878201,-439.527710,351.077484,-165.519531,0.000000,1.000000,0.000000,50.000,-0.064446,0.913796,-0.401029,64,1.00000,0.01227,0.00115,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,38,,-410.370728,-34.304905,-15.911160,-569.181152,-163.230225,-31.045288,0.000000,1.000000,0.000000,50.000,-0.774256,-0.628556,-0.073784,64,1.00000,0.04466,0.03734,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,39,,-402.744843,-7.983233,-18.002527,-307.606323,-54.653625,3.415804,0.000000,1.000000,0.000000,50.000,0.880000,-0.431686,0.198112,64,1.00000,0.06729,0.06160,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,40,,-403.652313,-36.493889,17.279085,-429.420837,372.068848,3.511722,0.000000,0.000000,1.000000,50.000,-0.062911,0.997453,-0.033611,64,1.00000,0.02041,0.01407,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,41,,-401.590210,-46.506638,-0.468405,-207.523438,-93.466110,-107.049622,0.000000,1.000000,0.000000,50.000,0.857439,-0.207480,-0.470904,64,1.00000,0.06424,0.05486,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,42,,-395.270264,-90.470833,-9.636825,-211.068085,-24.577595,-233.922165,0.000000,1.000000,0.000000,50.000,0.618922,0.221402,-0.753602,64,1.00000,0.01619,0.00864,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,43,,-303.226074,-64.621971,34.807945,-204.920212,23.122944,-113.153671,0.000000,1.000000,0.000000,50.000,0.496166,0.442863,-0.746787,64,1.00000,0.00700,0.00504,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,44,,-296.436646,-47.961323,-2.254559,-56.393623,102.336014,-177.403000,0.000000,1.000000,0.000000,50.000,0.720857,0.451348,-0.525976,64,1.00000,0.00471,0.00428,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,45,,-307.231567,25.028538,-111.972916,-282.854828,319.399902,-60.039101,0.000000,0.000000,1.000000,50.000,0.081280,0.981533,0.173165,64,1.00000,0.00919,0.00866,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,46,,-309.885559,42.878605,-84.471336,-409.269623,-187.400620,177.455627,0.000000,1.000000,0.000000,50.000,-0.274053,-0.634999,0.722268,64,1.00000,0.11300,0.09460,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,47,,-297.688873,31.826139,-6.640986,-355.168915,-87.079529,223.123199,0.000000,1.000000,0.000000,50.000,-0.216892,-0.448672,0.866979,64,1.00000,0.00774,0.00690,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,48,,-297.453461,26.835520,10.906658,-289.069275,231.509323,51.861156,0.000000,0.000000,1.000000,50.000,0.040135,0.979772,0.196049,64,1.00000,0.01901,0.01264,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,49,,-289.376129,33.035053,-11.384291,-372.478149,364.865692,183.649826,0.000000,1.000000,0.000000,50.000,-0.211041,0.842699,0.495298,64,1.00000,0.00073,0.00061,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,50,,-285.383972,159.149765,-11.756571,-54.311550,-234.328979,229.228745,0.000000,1.000000,0.000000,50.000,0.447783,-0.762501,0.466993,64,1.00000,0.17026,0.00805,1,,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,51,,-489.490570,325.868591,-113.203293,-64.006004,-24.793667,119.832123,0.000000,1.000000,0.000000,50.000,0.710815,-0.585817,0.389309,64,1.00000,0.00745,0.00377,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,52,,-491.705200,320.760040,-100.451164,-68.767807,27.320837,113.958977,0.000000,1.000000,0.000000,50.000,0.758451,-0.526223,0.384501,64,1.00000,0.00202,0.00192,0,median hit distance too short,1719.002808
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,53,,-364.617706,315.232086,-97.317535,-199.766525,15.933143,227.977585,0.000000,1.000000,0.000000,50.000,0.349427,-0.634409,0.689512,64,1.00000,0.12445,0.08179,1,,1719.002808
