run_id,git_commit,dirty,scene,scene_path,triangles,scene_diagonal,load_s,build_s,binary_nodes,binary_depth,binary_bytes,binary_required_stack,bvh2_stack_size,rss_start_mb,rss_after_load_mb,rss_after_build_mb,peak_rss_mb,camera_screen_s,camera_candidates,camera_screen_res,cameras_accepted,cameras_chosen,oracle_probe_rays,oracle_tri_tests,oracle_s_1t,oracle_mtris_s_1t,oracle_threads,oracle_s_nt,oracle_mtris_s_nt,legacy_probe_bytes,legacy_probe_mb,legacy_probe_ok,legacy_probe_peak_rss_mb,source
phase0_2026_09_01,fc3a28f,1,intel-sponza.obj,scenes/intel-sponza.obj,3746948,1719.002808,3.35,3.74,7493895,31,239804640,32,1024,4.3,712.4,842.5,2506.5,0.31,64,64,30,3,53,198588244,2.900,68.5,16,0.345,576.3,1978388280,1886.7,1,2506.5,S-measured
phase0_2026_09_01,fc3a28f,1,hairball.obj,scenes/hairball.obj,2880000,15.914934,2.23,3.31,5759999,34,184319968,35,1024,4.3,549.9,670.1,1930.8,0.74,64,64,4,3,69,198720000,3.687,53.9,16,0.483,411.4,1520639736,1450.2,1,1930.8,S-measured
phase0_2026_09_01,fc3a28f,1,bistro.obj,scenes/bistro.obj,2829873,161.551651,2.80,3.09,5659745,35,181111840,36,1024,4.3,558.1,637.8,1915.2,0.72,64,64,22,3,70,198091110,4.072,48.6,16,0.505,392.1,1494172680,1425.0,1,1915.2,S-measured
phase0_2026_09_01,fc3a28f,1,san-miguel.obj,scenes/san-miguel.obj,9971513,75.647339,11.51,11.06,19943025,62,638176800,63,1024,4.3,1418.6,2434.3,6914.7,0.42,64,64,25,3,20,199430260,3.976,50.2,16,0.670,297.7,5264958600,5021.1,1,6914.7,S-measured
