run_id,git_commit,dirty,scene,triangles,view,matched_workload,rayset_hash,rays,variant,lambda,width,wide_nodes,wide_depth,changed_decisions,changed_decisions_pct,node_steps_per_ray,box_tests_per_ray,tri_tests_per_ray,node_steps_pct,box_tests_pct,tri_tests_pct,hits,correctness,mismatches,tie_ids,Wx,Wy,Wz,binary_nodes,binary_depth,source
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,A,1,720141539300895366,262144,directional,0.5000,8,3405295,16,232077,4.1005,25.1687,190.9183,10.8024,2.629,2.803,-0.474,262144,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,B,0,8545900294964112491,262144,directional,0.5000,8,3405295,16,232077,4.1005,28.7220,215.1126,51.9499,-1.430,-0.616,-0.020,261527,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,C,0,3908305333063649661,262144,directional,0.5000,8,3405295,16,232077,4.1005,33.8834,259.2374,15.8649,-3.673,-3.790,-0.059,248171,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,A,1,720141539300895366,262144,directional,0.7500,8,3410284,17,312302,5.5180,25.2226,191.4062,10.9866,2.849,3.066,1.223,262144,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,B,0,8545900294964112491,262144,directional,0.7500,8,3410284,17,312302,5.5180,29.6459,222.3741,52.0584,1.740,2.738,0.188,261527,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,C,0,3908305333063649661,262144,directional,0.7500,8,3410284,17,312302,5.5180,35.2282,269.8713,16.0315,0.150,0.157,0.990,248171,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,A,1,720141539300895366,262144,directional,1.0000,8,3416997,17,382143,6.7519,25.4964,193.4429,11.0531,3.965,4.163,1.837,262144,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,B,0,8545900294964112491,262144,directional,1.0000,8,3416997,17,382143,6.7519,31.2149,231.6287,52.1719,7.125,7.014,0.407,261527,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,bistro.obj,2829873,C,0,3908305333063649661,262144,directional,1.0000,8,3416997,17,382143,6.7519,34.9430,266.8483,15.9215,-0.661,-0.965,0.298,248171,pass,0,0,0.943879,0.123986,0.263190,5659745,35,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,A,1,193257092760917983,262144,baseline_sah,0.0000,8,3409544,16,0,0.0000,28.3483,209.3627,29.3721,0.000,0.000,0.000,159822,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,B,0,9819284257463730535,262144,baseline_sah,0.0000,8,3409544,16,0,0.0000,32.7828,245.6284,28.3114,0.000,0.000,0.000,209688,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,C,0,5708646474693443182,262144,baseline_sah,0.0000,8,3409544,16,0,0.0000,28.0880,208.9096,24.1345,0.000,0.000,0.000,260391,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,A,1,193257092760917983,262144,directional,0.2500,8,3409466,16,45844,0.7959,28.1917,208.1254,29.3707,-0.553,-0.591,-0.005,159822,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,B,0,9819284257463730535,262144,directional,0.2500,8,3409466,16,45844,0.7959,33.3378,250.0843,28.3118,1.693,1.814,0.001,209688,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,C,0,5708646474693443182,262144,directional,0.2500,8,3409466,16,45844,0.7959,28.6099,212.5268,23.9454,1.858,1.731,-0.783,260391,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,A,1,193257092760917983,262144,directional,0.5000,8,3409510,16,87156,1.5131,28.1170,207.4800,29.3745,-0.816,-0.899,0.008,159822,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,B,0,9819284257463730535,262144,directional,0.5000,8,3409510,16,87156,1.5131,31.5439,235.7217,28.3107,-3.779,-4.033,-0.002,209688,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,C,0,5708646474693443182,262144,directional,0.5000,8,3409510,16,87156,1.5131,29.4883,219.0761,24.3233,4.985,4.866,0.782,260391,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,A,1,193257092760917983,262144,directional,0.7500,8,3409442,16,119876,2.0812,28.1490,207.7959,29.3750,-0.703,-0.748,0.010,159822,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,B,0,9819284257463730535,262144,directional,0.7500,8,3409442,16,119876,2.0812,31.6322,236.5634,28.3161,-3.510,-3.691,0.016,209688,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,C,0,5708646474693443182,262144,directional,0.7500,8,3409442,16,119876,2.0812,29.4711,218.9755,24.3305,4.924,4.818,0.812,260391,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,A,1,193257092760917983,262144,directional,1.0000,8,3409475,16,147071,2.5533,28.2481,208.6266,29.3942,-0.354,-0.352,0.075,159822,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,B,0,9819284257463730535,262144,directional,1.0000,8,3409475,16,147071,2.5533,31.6422,236.4845,28.3164,-3.479,-3.723,0.018,209688,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,hairball.obj,2880000,C,0,5708646474693443182,262144,directional,1.0000,8,3409475,16,147071,2.5533,29.4822,219.0514,24.2496,4.964,4.855,0.477,260391,pass,0,0,0.500015,0.712719,0.453243,5759999,34,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,A,1,11948788235775219164,262144,baseline_sah,0.0000,8,11927443,49,0,0.0000,6.5090,43.2206,1.9111,0.000,0.000,0.000,259437,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,B,0,9195041453402854932,262144,baseline_sah,0.0000,8,11927443,49,0,0.0000,18.6954,140.5863,3.8741,0.000,0.000,0.000,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
w8_dir_2026_09_01,af0cb56,1,san-miguel.obj,9971513,C,0,926090116047900570,262144,baseline_sah,0.0000,8,11927443,49,0,0.0000,27.6779,211.9430,4.8254,0.000,0.000,0.000,262144,pass,0,0,0.936906,0.146721,0.267479,19943025,62,S-measured
