run_id,git_commit,dirty,scene,scene_sha256,triangles,builder,bins,max_leaf_size,layout,mode,threads,nodes,max_depth,ray_set,ray_seed,ray_seed_value,rayset_hash,width,height,incoherent_count,query_kind,validation,rays,rays_with_pairs,parent_visits,candidate_events,candidate_events_in_pair_rows,valid_candidate_events,relevant_hit_events,false_positive_events,invalid_events,saturated_events,invalid_rate,saturation_rate,false_positive_rate,discordant_pairs,directional_correct,directional_ties,directional_accuracy,surface_density_correct,surface_density_ties,surface_density_accuracy,primitive_count_correct,primitive_count_ties,primitive_count_accuracy,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_accuracy,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_accuracy,directional_ci_lo,directional_ci_hi,ci_valid,best_control,best_control_accuracy,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,trace_node_steps,trace_prim_steps,trace_box_tests,trace_tri_tests,trace_max_stack,trace_hits,support_ok,support_min_valid_events,support_min_pairs,bootstrap_seed,bootstrap_samples,analysis_ms,descriptor_ms,source_analytic,source_probe_steps,source_trace_steps
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,primary,A,11400714819323198485,10987038489570991087,512,512,262144,closest_improves_incumbent,oracle_match,262144,26597,916981,830901,511181,830901,323569,507332,0,184089,0.000000,0.221553,0.610581,82518,43730,0,0.529945,43812,0,0.530939,16009,41356,0.194006,40203,283,0.487203,40126,12,0.486270,0.526592,0.533273,1,surface_density,0.530939,-0.0994,-0.3856,0.1866,3948881,1351990,7897762,1351990,1726452,542800,3452904,542800,916981,111582,1571818,111582,10,26792,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,169.7,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,shadow_ao,A,11400714819323198485,17188299529979814759,512,512,262144,any_occluder_in_range,oracle_match,26792,1233,298762,318270,22682,318270,14195,304075,0,81232,0.000000,0.255230,0.955400,4121,2439,0,0.591847,2468,0,0.598884,1388,1956,0.336811,1596,13,0.387285,1604,2,0.389226,0.578102,0.606261,1,surface_density,0.598884,-0.7037,-1.7835,0.3317,1468575,467949,2937150,467949,1377213,437208,2754426,437208,298762,43456,570732,43456,8,1235,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,47.0,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,shadow_ao,B,14029467366897019727,9827210729155945564,512,512,262144,any_occluder_in_range,oracle_match,26792,1240,298106,317668,22776,317668,14313,303355,0,81024,0.000000,0.255059,0.954944,4176,2421,0,0.579741,2502,0,0.599138,1427,1969,0.341715,1635,19,0.391523,1670,3,0.399904,0.565823,0.593840,1,surface_density,0.599138,-1.9397,-2.9943,-0.9015,1463725,467624,2927450,467624,1371715,436314,2743430,436314,298106,43419,569420,43419,8,1242,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,47.2,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,diffuse_1,A,11400714819323198485,1710634021748462773,512,512,262144,closest_improves_incumbent,oracle_match,26792,2020,312045,336145,46626,336145,24036,312109,0,84327,0.000000,0.250865,0.928495,6890,4268,0,0.619448,4269,0,0.619594,2471,3229,0.358636,2524,95,0.366328,2611,6,0.378955,0.608872,0.630175,1,surface_density,0.619594,-0.0145,-0.8766,0.8313,1568711,517775,3137422,517775,1387042,448208,2774084,448208,312045,47717,597298,47717,8,2022,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,67.3,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,diffuse_1,B,14029467366897019727,8948660026651399054,512,512,262144,closest_improves_incumbent,oracle_match,26792,2039,311699,335706,46958,335706,24235,311471,0,83997,0.000000,0.250210,0.927809,6953,4221,0,0.607076,4280,0,0.615562,2446,3308,0.351791,2537,98,0.364878,2604,5,0.374515,0.596063,0.617893,1,surface_density,0.615562,-0.8486,-1.6577,0.0000,1564462,516712,3128924,516712,1382410,446859,2764820,446859,311699,47639,596606,47639,8,2039,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,65.9,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,incoherent,A,11400714819323198485,3307960432993414594,512,512,262144,closest_improves_incumbent,oracle_match,262144,115462,2931566,3241081,2336276,3241081,1322527,1918554,0,798387,0.000000,0.246334,0.591949,357233,195127,0,0.546218,190598,0,0.533540,105375,156461,0.294976,162011,8931,0.453516,168090,355,0.470533,0.544630,0.547925,1,surface_density,0.533540,1.2678,1.1421,1.3924,15294638,5193981,30589276,5193981,5959383,1868213,11918766,1868213,2931566,451204,5600988,451204,10,115690,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,758.9,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_rerun_check,27b7732,1,teapot.obj,2135dfb46c005448ad3fcd2ca75a31204df91248bbbcb18965838af40df1c234,1024,binned_sah,32,1,bvh2/slot32_aos,robust,1,2047,13,incoherent,B,14029467366897019727,10290446660012155608,512,512,262144,closest_improves_incumbent,oracle_match,262144,115258,2932387,3240614,2335722,3240614,1320001,1920613,0,798619,0.000000,0.246441,0.592669,355935,194215,0,0.545647,189709,0,0.532988,104974,156006,0.294925,161439,9036,0.453563,167496,346,0.470580,0.543989,0.547259,1,surface_density,0.532988,1.2660,1.1434,1.3852,15292191,5188949,30584382,5188949,5970726,1872192,11941452,1872192,2932387,450949,5602630,450949,11,115499,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,759.6,0.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
