run_id,git_commit,dirty,scene,triangles,binary_nodes,internal_nodes,binary_depth,sample_stride,sampled_rows,valid_axes,degenerate_axes,nodes_with_degenerate_axis,saturation_rate_all_axes,saturation_rate_x,q_mean_x,q_p10_x,q_p50_x,q_p90_x,fill_mean_x,saturation_rate_y,q_mean_y,q_p10_y,q_p50_y,q_p90_y,fill_mean_y,saturation_rate_z,q_mean_z,q_p10_z,q_p50_z,q_p90_z,fill_mean_z,nodes_0_saturated_axes,nodes_1_saturated_axes,nodes_2_saturated_axes,nodes_3_saturated_axes,fill_corr_xy,fill_corr_xz,fill_corr_yz,mean_l_dir_over_sa,mean_l_dir_min_over_sa,mean_l_scalar_over_sa,source
nodeterms_2026_09_02,6097937,1,intel-sponza.obj,3746948,7493895,3746947,31,38,197208,22339076,142609,71302,0.019125,0.017676,0.449456,0.0750,0.4550,0.8650,0.337139,0.025871,0.498808,0.1250,0.4850,0.8950,0.369307,0.013849,0.460423,0.0850,0.4650,0.8650,0.345754,7153114,258904,77292,4585,-0.054659,-0.158440,-0.012380,0.486790,0.820593,0.597601,S-measured
nodeterms_2026_09_02,6097937,1,hairball.obj,2880000,5759999,2879999,34,29,198621,17279997,0,0,0.020801,0.020866,0.273013,0.0250,0.1850,0.6250,0.214207,0.020678,0.272857,0.0250,0.1850,0.6250,0.214225,0.020860,0.274999,0.0250,0.1850,0.6350,0.215764,5534383,112875,91652,21089,0.652855,0.660166,0.661075,0.772238,0.872391,0.843703,S-measured
nodeterms_2026_09_02,6097937,1,san-miguel.obj,9971513,19943025,9971512,62,100,199431,59084857,744218,367536,0.038663,0.038912,0.455285,0.0950,0.4450,0.8550,0.339322,0.034366,0.391261,0.0450,0.3750,0.7550,0.296455,0.042747,0.461894,0.0950,0.4450,0.8650,0.342972,18411817,850924,607384,72900,0.146529,0.445384,0.164400,0.590939,0.814835,0.697249,S-measured
