run_id,git_commit,dirty,scene,triangles,view,rayset_hash,rays,variant,loss_kind,mu,is_primary_comparison,width,wide_nodes,emitted_depth,mean_fullness,decisions_changed,decisions_changed_pct,changed_visits_reference,total_visits_reference,decisions_changed_visit_weighted_pct,sah_cost,dir_loss_cost,scalar_loss_cost,bvh_bytes,node_steps_per_ray,box_tests_per_ray,prim_steps_per_ray,tri_tests_per_ray,box_hits_per_ray,pruned_pops_per_ray,max_stack,node_steps_pct,box_tests_pct,prim_steps_pct,tri_tests_pct,box_hits_pct,pruned_pops_pct,wide_nodes_pct,hits,correctness,mismatches,tie_ids,rays_used_in_construction,source
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,C,9821925013733564738,262144,scalar_mu2.00,sah+Lscalar,2.0000,0,8,4489047,15,6.0491,398593,5.3189,7548239,35243254,21.4175,38.909887,3.246602,3.336846,143649504,17.3972,130.7630,2.8982,2.8982,24.0851,4.7897,33,-6.354,-6.797,0.274,0.274,-5.261,-3.333,0.098,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,A,7892468007334305245,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,4485646,14,6.0724,144478,1.9279,804628,35243254,2.2831,38.547323,3.531217,3.774779,143540672,9.0244,63.5123,2.0877,2.0877,15.8521,5.7400,14,3.092,3.977,0.000,0.000,1.718,-0.049,0.022,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,B,5800911088483664549,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,4485646,14,6.0724,144478,1.9279,804628,35243254,2.2831,38.547323,3.531217,3.774779,143540672,13.1941,96.1035,2.9921,2.9921,19.7531,4.5669,28,-0.144,-0.157,0.009,0.009,-0.038,0.247,0.022,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,C,9821925013733564738,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,4485646,14,6.0724,144478,1.9279,804628,35243254,2.2831,38.547323,3.531217,3.774779,143540672,18.0833,136.3384,2.8882,2.8882,24.9132,4.9417,31,-2.661,-2.823,-0.072,-0.072,-2.004,-0.264,0.022,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,A,7892468007334305245,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,4486751,14,6.0648,227033,3.0296,1426648,35243254,4.0480,38.574362,3.455833,3.711301,143576032,9.0244,63.5123,2.0877,2.0877,15.8521,5.7400,14,3.092,3.977,0.000,0.000,1.718,-0.049,0.047,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,B,5800911088483664549,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,4486751,14,6.0648,227033,3.0296,1426648,35243254,4.0480,38.574362,3.455833,3.711301,143576032,13.1993,96.1358,2.9949,2.9949,19.7610,4.5668,28,-0.105,-0.124,0.101,0.101,0.002,0.246,0.047,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,C,9821925013733564738,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,4486751,14,6.0648,227033,3.0296,1426648,35243254,4.0480,38.574362,3.455833,3.711301,143576032,19.1783,145.1300,2.8888,2.8888,26.0046,4.9375,32,3.234,3.443,-0.053,-0.053,2.289,-0.349,0.047,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,A,7892468007334305245,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,4488619,15,6.0520,335673,4.4793,5489180,35243254,15.5751,38.712843,3.262607,3.564977,143635808,8.2645,57.4317,2.0888,2.0888,14.8154,5.4621,15,-5.589,-5.978,0.054,0.054,-4.934,-4.888,0.088,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,B,5800911088483664549,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,4488619,15,6.0520,335673,4.4793,5489180,35243254,15.5751,38.712843,3.262607,3.564977,143635808,12.8263,93.1679,2.9937,2.9937,19.4512,4.6311,33,-2.928,-3.207,0.062,0.062,-1.566,1.658,0.088,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,C,9821925013733564738,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,4488619,15,6.0520,335673,4.4793,5489180,35243254,15.5751,38.712843,3.262607,3.564977,143635808,18.2269,137.5101,2.8915,2.8915,24.8446,4.7262,32,-1.888,-1.988,0.042,0.042,-2.274,-4.613,0.088,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,A,7892468007334305245,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,4492156,15,6.0281,432156,5.7668,7712069,35243254,21.8824,39.008392,3.045582,3.440535,143748992,8.2692,57.5733,2.0888,2.0888,14.7553,5.3973,11,-5.536,-5.746,0.054,0.054,-5.320,-6.017,0.167,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,B,5800911088483664549,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,4492156,15,6.0281,432156,5.7668,7712069,35243254,21.8824,39.008392,3.045582,3.440535,143748992,13.0223,94.7885,2.9934,2.9934,19.7381,4.7224,33,-1.445,-1.524,0.052,0.052,-0.114,3.662,0.167,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,intel-sponza.obj,3746948,C,9821925013733564738,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,4492156,15,6.0281,432156,5.7668,7712069,35243254,21.8824,39.008392,3.045582,3.440535,143748992,18.4682,139.2810,3.1257,3.1257,25.9482,5.3543,30,-0.589,-0.726,8.146,8.146,2.067,8.063,0.167,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,sah_baseline,sah,0.0000,0,8,3409544,16,6.4386,0,0.0000,0,102573462,0.0000,257.994183,33.918348,47.226224,109105408,28.3483,209.3627,29.3721,29.3721,60.4147,3.6943,26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,sah_baseline,sah,0.0000,0,8,3409544,16,6.4386,0,0.0000,0,102573462,0.0000,257.994183,33.918348,47.226224,109105408,32.7828,245.6284,28.3114,28.3114,65.1831,5.0889,30,0.000,0.000,0.000,0.000,0.000,0.000,0.000,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,sah_baseline,sah,0.0000,0,8,3409544,16,6.4386,0,0.0000,0,102573462,0.0000,257.994183,33.918348,47.226224,109105408,28.0880,208.9096,24.1345,24.1345,58.0375,6.8151,25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,scalar_mu0.25,sah+Lscalar,0.2500,0,8,3408779,16,6.4465,97061,1.6851,8134629,102573462,7.9305,258.052628,33.459713,46.727465,109080928,28.2827,208.7393,29.3722,29.3722,60.3700,3.7151,26,-0.232,-0.298,0.001,0.001,-0.074,0.563,-0.022,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,scalar_mu0.25,sah+Lscalar,0.2500,0,8,3408779,16,6.4465,97061,1.6851,8134629,102573462,7.9305,258.052628,33.459713,46.727465,109080928,33.0383,247.4039,28.3139,28.3139,65.4531,5.1008,32,0.779,0.723,0.009,0.009,0.414,0.235,-0.022,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,scalar_mu0.25,sah+Lscalar,0.2500,0,8,3408779,16,6.4465,97061,1.6851,8134629,102573462,7.9305,258.052628,33.459713,46.727465,109080928,28.5049,211.9046,23.9593,23.9593,58.4459,6.9817,29,1.484,1.434,-0.726,-0.726,0.704,2.446,-0.022,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,scalar_mu0.50,sah+Lscalar,0.5000,0,8,3408272,18,6.4517,157620,2.7365,13960482,102573462,13.6102,258.215439,33.090363,46.290850,109064704,28.1085,207.2478,29.3723,29.3723,60.2086,3.7278,26,-0.846,-1.010,0.001,0.001,-0.341,0.905,-0.037,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,scalar_mu0.50,sah+Lscalar,0.5000,0,8,3408272,18,6.4517,157620,2.7365,13960482,102573462,13.6102,258.215439,33.090363,46.290850,109064704,31.9247,238.4124,28.3054,28.3054,64.4892,5.2591,30,-2.617,-2.938,-0.021,-0.021,-1.064,3.345,-0.037,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,scalar_mu0.50,sah+Lscalar,0.5000,0,8,3408272,18,6.4517,157620,2.7365,13960482,102573462,13.6102,258.215439,33.090363,46.290850,109064704,29.2878,217.9334,24.0329,24.0329,59.4589,7.1383,29,4.272,4.319,-0.421,-0.421,2.449,4.742,-0.037,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,scalar_mu1.00,sah+Lscalar,1.0000,0,8,3407715,19,6.4575,225395,3.9131,18444510,102573462,17.9818,258.820549,32.323875,45.469832,109046880,27.0095,197.4626,29.3641,29.3641,59.2363,3.8627,26,-4.723,-5.684,-0.027,-0.027,-1.951,4.557,-0.054,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,scalar_mu1.00,sah+Lscalar,1.0000,0,8,3407715,19,6.4575,225395,3.9131,18444510,102573462,17.9818,258.820549,32.323875,45.469832,109046880,32.2962,240.5669,28.3033,28.3033,64.9437,5.3443,31,-1.484,-2.061,-0.029,-0.029,-0.367,5.018,-0.054,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,scalar_mu1.00,sah+Lscalar,1.0000,0,8,3407715,19,6.4575,225395,3.9131,18444510,102573462,17.9818,258.820549,32.323875,45.469832,109046880,30.3781,226.4809,24.0125,24.0125,60.4059,7.0153,27,8.153,8.411,-0.505,-0.505,4.081,2.938,-0.054,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,scalar_mu2.00,sah+Lscalar,2.0000,0,8,3407158,20,6.4633,276754,4.8048,20094524,102573462,19.5904,260.312985,31.430580,44.438423,109029056,27.0031,196.3714,29.3673,29.3673,59.2275,3.8572,26,-4.746,-6.205,-0.016,-0.016,-1.965,4.408,-0.070,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,scalar_mu2.00,sah+Lscalar,2.0000,0,8,3407158,20,6.4633,276754,4.8048,20094524,102573462,19.5904,260.312985,31.430580,44.438423,109029056,33.5155,249.5926,28.2886,28.2886,66.1481,5.3440,31,2.235,1.614,-0.081,-0.081,1.480,5.013,-0.070,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,scalar_mu2.00,sah+Lscalar,2.0000,0,8,3407158,20,6.4633,276754,4.8048,20094524,102573462,19.5904,260.312985,31.430580,44.438423,109029056,30.6440,228.1669,24.0523,24.0523,60.7604,7.0642,27,9.100,9.218,-0.341,-0.341,4.692,3.656,-0.070,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,3408460,17,6.4498,114984,1.9963,7767600,102573462,7.5727,258.076169,33.248391,46.763461,109070720,28.2646,208.5565,29.3730,29.3730,60.3487,3.7112,25,-0.295,-0.385,0.003,0.003,-0.109,0.456,-0.032,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,3408460,17,6.4498,114984,1.9963,7767600,102573462,7.5727,258.076169,33.248391,46.763461,109070720,32.4079,242.5836,28.3070,28.3070,64.8364,5.1215,30,-1.143,-1.240,-0.016,-0.016,-0.532,0.641,-0.032,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,3408460,17,6.4498,114984,1.9963,7767600,102573462,7.5727,258.076169,33.248391,46.763461,109070720,28.7832,214.7989,24.1541,24.1541,58.8176,6.8803,30,2.475,2.819,0.081,0.081,1.344,0.957,-0.032,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,3407748,18,6.4571,191638,3.3270,12032682,102573462,11.7308,258.324390,32.587917,46.364385,109047936,28.2295,208.0759,29.3655,29.3655,60.3038,3.7088,25,-0.419,-0.615,-0.022,-0.022,-0.184,0.393,-0.053,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,3407748,18,6.4571,191638,3.3270,12032682,102573462,11.7308,258.324390,32.587917,46.364385,109047936,32.4281,242.1810,28.3116,28.3116,64.8870,5.1473,30,-1.082,-1.404,0.001,0.001,-0.454,1.147,-0.053,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,3407748,18,6.4571,191638,3.3270,12032682,102573462,11.7308,258.324390,32.587917,46.364385,109047936,28.8575,214.4624,24.3921,24.3921,59.0373,6.7876,27,2.740,2.658,1.068,1.068,1.723,-0.403,-0.053,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,3406792,19,6.4671,273700,4.7517,17032481,102573462,16.6052,259.032823,31.608421,45.751162,109017344,28.0028,205.8106,29.3896,29.3896,60.0818,3.6894,25,-1.219,-1.697,0.060,0.060,-0.551,-0.133,-0.081,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,3406792,19,6.4671,273700,4.7517,17032481,102573462,16.6052,259.032823,31.608421,45.751162,109017344,32.7812,243.6862,28.2950,28.2950,65.2966,5.2205,32,-0.005,-0.791,-0.058,-0.058,0.174,2.585,-0.081,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,3406792,19,6.4671,273700,4.7517,17032481,102573462,16.6052,259.032823,31.608421,45.751162,109017344,28.6651,212.6500,23.9913,23.9913,58.6333,6.9768,30,2.055,1.790,-0.593,-0.593,1.026,2.374,-0.081,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,A,193257092760917983,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,3405948,19,6.4758,342114,5.9395,20860632,102573462,20.3373,260.575410,30.541752,45.212953,108990336,28.1066,203.2763,29.3862,29.3862,60.4476,3.9548,25,-0.853,-2.907,0.048,0.048,0.054,7.051,-0.105,159822,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,B,9819284257463730535,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,3405948,19,6.4758,342114,5.9395,20860632,102573462,20.3373,260.575410,30.541752,45.212953,108990336,33.2923,246.0654,28.2885,28.2885,65.8242,5.2434,33,1.554,0.178,-0.081,-0.081,0.983,3.037,-0.105,209688,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,hairball.obj,2880000,C,5708646474693443182,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,3405948,19,6.4758,342114,5.9395,20860632,102573462,20.3373,260.575410,30.541752,45.212953,108990336,30.4008,225.9896,24.0128,24.0128,60.2392,6.8255,30,8.234,8.176,-0.504,-0.504,3.793,0.153,-0.105,260391,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,9971513,A,11948788235775219164,262144,sah_baseline,sah,0.0000,0,8,11927443,49,6.0981,0,0.0000,0,45578334,0.0000,29.694311,3.268598,3.643633,381678176,6.5090,43.2206,1.9111,1.9111,10.0308,2.6108,21,0.000,0.000,0.000,0.000,0.000,0.000,0.000,259437,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,9971513,B,9195041453402854932,262144,sah_baseline,sah,0.0000,0,8,11927443,49,6.0981,0,0.0000,0,45578334,0.0000,29.694311,3.268598,3.643633,381678176,18.6954,140.5863,3.8741,3.8741,25.9617,4.3922,24,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,9971513,C,926090116047900570,262144,sah_baseline,sah,0.0000,0,8,11927443,49,6.0981,0,0.0000,0,45578334,0.0000,29.694311,3.268598,3.643633,381678176,27.6779,211.9430,4.8254,4.8254,35.8351,4.3318,37,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262144,pass,0,0,0,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,9971513,A,11948788235775219164,262144,scalar_mu0.25,sah+Lscalar,0.2500,0,8,11927074,49,6.0991,390029,1.9557,1868587,45578334,4.0997,29.707487,3.188811,3.544351,381666368,6.5084,43.1814,1.9111,1.9111,10.0303,2.6108,21,-0.009,-0.091,-0.000,-0.000,-0.006,0.001,-0.003,259437,pass,0,0,0,S-measured
