run_id,git_commit,dirty,scene,variant,loss_kind,mu,depth_band,band_nodes,band_visits_reference,changed_nodes,changed_visits_reference,changed_nodes_pct_of_band,changed_visits_pct_of_band,share_of_changed_visits,share_of_reference_visits,source
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu1.00,sah+Ldir,1.0000,8-11,3020,13178868,506,749204,16.7550,5.6849,0.253930,0.289148,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu1.00,sah+Ldir,1.0000,12-15,36636,5698905,6442,772270,17.5838,13.5512,0.261748,0.125035,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu1.00,sah+Ldir,1.0000,16-23,4003374,6076441,410189,785088,10.2461,12.9202,0.266092,0.133319,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu1.00,sah+Ldir,1.0000,24-31,15222732,1035489,468134,18726,3.0752,1.8084,0.006347,0.022719,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu1.00,sah+Ldir,1.0000,32+,677012,80,9106,0,1.3450,0.0000,0.000000,0.000002,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,0-3,15,6855157,0,0,0.0000,0.0000,0.000000,0.150404,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,4-7,236,12733394,38,1721102,16.1017,13.5164,0.290996,0.279374,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,8-11,3020,13178868,680,2181484,22.5166,16.5529,0.368835,0.289148,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,12-15,36636,5698905,8147,1058621,22.2377,18.5759,0.178987,0.125035,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,16-23,4003374,6076441,515539,928521,12.8776,15.2807,0.156990,0.133319,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,24-31,15222732,1035489,602543,24801,3.9582,2.3951,0.004193,0.022719,S-measured
gatec_2026_09_02,ca4d67f,1,san-miguel.obj,directional_mu2.00,sah+Ldir,2.0000,32+,677012,80,11399,0,1.6837,0.0000,0.000000,0.000002,S-measured
