run_id,git_commit,dirty,scene,scene_sha256,builder,layout,mode,ray_set,ray_seed,rayset_hash,query_kind,ratio_bin,candidate_count,relevant_hit_count,false_positive_count,invalid_count,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,source_analytic,source_steps
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_20_30,89774,3219,86555,0,187931,231778,375862,231778,180739,224956,361478,224956,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_30_40,79624,3811,75813,0,212725,210843,425450,210843,200322,201192,400644,201192,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_40_50,128495,6894,121601,0,300462,262591,600924,262591,277296,246696,554592,246696,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_50_60,97037,7810,89227,0,435245,243455,870490,243455,396285,222876,792570,222876,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_60_70,123395,7674,115721,0,662074,316063,1324148,316063,598032,285538,1196064,285538,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_70_80,129337,8169,121168,0,858035,370926,1716070,370926,774907,333831,1549814,333831,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_80_90,140900,9072,131828,0,1110549,464683,2221098,464683,1003445,418344,2006890,418344,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,q_90_100,171069,14667,156402,0,1329823,529336,2659646,529336,1185854,465294,2371708,465294,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,raw_gt_1,1011919,96389,915530,0,16760870,4190531,33521740,4190531,14158721,3338167,28317442,3338167,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,A,13059770834929451202,any_occluder_in_range,invalid,0,0,0,0,0,0,0,0,0,0,0,0,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_00_10,273865,2898,270967,0,76467,341928,152934,341928,74945,338303,149890,338303,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_10_20,142323,3071,139252,0,185738,298145,371476,298145,180410,292247,360820,292247,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_20_30,89534,3350,86184,0,187348,231409,374696,231409,179689,223902,359378,223902,S-analytic,S-probe-counterfactual
d1_large_sampled_2026_08_31,970f092,1,intel-sponza.obj,f464f3684ce831af16f89da4cc6395e92c625bb6cf123b2bbe49ec33aed414a3,binned_sah,bvh2/slot32_aos,robust,shadow_ao,B,10273955076000355927,any_occluder_in_range,q_30_40,80126,4055,76071,0,213713,212270,427426,212270,199673,201358,399346,201358,S-analytic,S-probe-counterfactual
