run_id,git_commit,dirty,scene,scene_sha256,triangles,builder,bins,max_leaf_size,layout,mode,threads,nodes,max_depth,ray_set,ray_seed,ray_seed_value,rayset_hash,width,height,incoherent_count,query_kind,validation,rays,rays_with_pairs,parent_visits,candidate_events,candidate_events_in_pair_rows,valid_candidate_events,relevant_hit_events,false_positive_events,invalid_events,saturated_events,invalid_rate,saturation_rate,false_positive_rate,discordant_pairs,directional_correct,directional_ties,directional_accuracy,surface_density_correct,surface_density_ties,surface_density_accuracy,primitive_count_correct,primitive_count_ties,primitive_count_accuracy,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_accuracy,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_accuracy,directional_ci_lo,directional_ci_hi,ci_valid,best_control,best_control_accuracy,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,trace_node_steps,trace_prim_steps,trace_box_tests,trace_tri_tests,trace_max_stack,trace_hits,support_ok,support_min_valid_events,support_min_pairs,bootstrap_seed,bootstrap_samples,analysis_ms,descriptor_ms,source_analytic,source_probe_steps,source_trace_steps
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,diffuse_1,A,11400714819323198485,6166606655053877372,128,128,16384,closest_improves_incumbent,oracle_sample_match,2259,1272,169730,221160,142917,221160,32400,188760,0,46188,0.000000,0.208844,0.853500,10755,6282,0,0.584100,6215,0,0.577871,5160,1693,0.479777,5392,0,0.501348,5493,0,0.510739,0.575097,0.593454,1,surface_density,0.577871,0.6230,0.1264,1.1134,2615351,1136528,5230702,1136528,1491248,673907,2982496,673907,169730,48407,337201,48407,19,1272,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,106.5,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,diffuse_1,B,14029467366897019727,601445350524603615,128,128,16384,closest_improves_incumbent,oracle_sample_match,2259,1262,171470,223155,141761,223155,32126,191029,0,46616,0.000000,0.208895,0.856037,10673,6209,0,0.581748,6118,0,0.573222,4980,1744,0.466598,5323,0,0.498735,5452,0,0.510822,0.572827,0.591224,1,surface_density,0.573222,0.8526,0.3498,1.3899,2624606,1134947,5249212,1134947,1522855,684774,3045710,684774,171470,48771,340681,48771,20,1262,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,104.0,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,incoherent,A,11400714819323198485,15759569274571642816,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,7561,916836,1180529,920891,1180529,201240,979289,0,294141,0.000000,0.249160,0.829534,65474,38237,0,0.584003,37703,0,0.575847,31564,10592,0.482084,33180,1,0.506766,33923,1,0.518114,0.580453,0.587739,1,surface_density,0.575847,0.8156,0.6146,1.0202,14076721,5929786,28153442,5929786,6720724,2972043,13441448,2972043,916836,244489,1817288,244489,20,7561,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,612.9,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,incoherent,B,14029467366897019727,3209104207197725874,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,7382,904543,1160887,899667,1160887,196774,964113,0,291472,0.000000,0.251077,0.830497,64050,37534,0,0.586011,37059,0,0.578595,31021,10361,0.484325,32479,2,0.507088,33344,2,0.520593,0.582378,0.589635,1,surface_density,0.578595,0.7416,0.5348,0.9437,13848839,5788084,27697678,5788084,6630503,2864285,13261006,2864285,904543,237854,1792702,237854,20,7383,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,610.6,114.2,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,primary,A,11400714819323198485,1651105225227214735,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,1239,88084,94834,79408,94834,26718,68116,0,38927,0.000000,0.410475,0.718266,7622,4398,257,0.577014,4358,257,0.571766,2498,1756,0.327736,4086,456,0.536080,4100,428,0.537917,0.566415,0.587894,1,surface_density,0.571766,0.5248,-0.1642,1.2176,844202,391551,1688404,391551,317110,180743,634220,180743,88084,18735,159784,18735,19,1239,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,35.4,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,shadow_ao,A,11400714819323198485,12533583168109937296,128,128,16384,any_occluder_in_range,oracle_sample_match,1239,338,46567,61748,19705,61748,6365,55383,0,19460,0.000000,0.315152,0.896920,1785,1030,53,0.577031,1039,53,0.582073,685,370,0.383754,909,92,0.509244,940,89,0.526611,0.554593,0.599026,1,surface_density,0.582073,-0.5042,-1.7318,0.7179,556731,301945,1113462,301945,437277,254737,874554,254737,46567,15035,91895,15035,15,338,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,17.0,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,shadow_ao,B,14029467366897019727,713658693085883787,128,128,16384,any_occluder_in_range,oracle_sample_match,1239,327,45069,59178,19522,59178,6244,52934,0,19362,0.000000,0.327182,0.894488,1782,1023,50,0.574074,1022,50,0.573513,682,358,0.382716,940,85,0.527497,955,80,0.535915,0.550943,0.596091,1,surface_density,0.573513,0.0561,-1.2470,1.3858,530562,279823,1061124,279823,410385,232656,820770,232656,45069,13989,88899,13989,14,327,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,16.4,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,diffuse_1,A,11400714819323198485,13196936701535461919,128,128,16384,closest_improves_incumbent,oracle_sample_match,1239,431,59556,79165,43716,79165,9828,69337,0,23909,0.000000,0.302015,0.875854,2914,1723,105,0.591283,1701,105,0.583734,1176,639,0.403569,1465,175,0.502745,1509,168,0.517845,0.572546,0.609643,1,surface_density,0.583734,0.7550,-0.3120,1.8307,737684,395583,1475368,395583,489336,294511,978672,294511,59556,19651,117873,19651,15,432,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,28.6,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,diffuse_1,B,14029467366897019727,12171975249193965208,128,128,16384,closest_improves_incumbent,oracle_sample_match,1239,412,57410,75128,39902,75128,9028,66100,0,23959,0.000000,0.318909,0.879832,2652,1546,84,0.582956,1519,84,0.572775,1059,540,0.399321,1314,146,0.495475,1339,138,0.504902,0.562844,0.603007,1,surface_density,0.572775,1.0181,-0.1901,2.2718,697744,359705,1395488,359705,471268,272227,942536,272227,57410,17883,113581,17883,15,412,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,27.7,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,incoherent,A,11400714819323198485,9407901714270708239,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,5736,397965,516604,410380,516604,123926,392678,0,180984,0.000000,0.350334,0.760114,33211,19090,1149,0.574810,18718,1149,0.563608,12085,7949,0.363885,17021,2081,0.512511,17292,1931,0.520671,0.569575,0.580013,1,surface_density,0.563608,1.1201,0.7931,1.4675,4680964,2460928,9361928,2460928,2013770,1343257,4027540,1343257,397965,119182,779546,119182,19,5740,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,196.6,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,bistro.obj,34536fa95e38df405fb71c0f474186b1832eeb346743c4ffc4b284c90557adac,2829873,binned_sah,32,1,bvh2/slot32_aos,robust,1,5659745,35,incoherent,B,14029467366897019727,5647968469537647682,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,5709,400857,521492,418980,521492,123270,398222,0,181077,0.000000,0.347229,0.763621,33062,19007,1124,0.574890,18753,1124,0.567207,12185,7881,0.368550,16803,2071,0.508227,17019,1912,0.514760,0.569770,0.580072,1,surface_density,0.567207,0.7683,0.4245,1.0665,4759570,2520153,9519140,2520153,2052941,1379053,4105882,1379053,400857,121268,785330,121268,18,5713,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,200.8,123.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,primary,A,11400714819323198485,3781558343774615031,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,1994,62880,60394,55100,60394,32915,27479,0,38260,0.000000,0.633507,0.454996,6677,3491,825,0.522840,3475,823,0.520443,1848,2058,0.276771,3183,979,0.476711,3182,967,0.476561,0.508649,0.536675,1,surface_density,0.520443,0.2396,-0.1426,0.6154,418470,131385,836940,131385,87909,27657,175818,27657,62880,7893,109376,7893,15,2000,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,19.5,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,shadow_ao,A,11400714819323198485,14461018699944980875,1024,1024,16384,any_occluder_in_range,oracle_sample_match,127679,8306,1673251,1632789,191305,1632789,116627,1516162,0,1352907,0.000000,0.828587,0.928572,27946,14267,3443,0.510520,13805,3421,0.493988,9285,8498,0.332248,10303,3622,0.368675,10348,3606,0.370286,0.504679,0.516229,1,surface_density,0.493988,1.6532,1.3768,1.9231,9436110,878226,18872220,878226,8319989,577781,16639978,577781,1673251,67022,3218823,67022,14,8307,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,224.0,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,shadow_ao,B,14029467366897019727,17592145241872402267,1024,1024,16384,any_occluder_in_range,oracle_sample_match,127679,8161,1672161,1631250,188630,1631250,114252,1516998,0,1351727,0.000000,0.828645,0.929960,27327,13870,3397,0.507557,13397,3382,0.490248,9070,8377,0.331906,9962,3596,0.364548,10007,3574,0.366195,0.501872,0.513413,1,surface_density,0.490248,1.7309,1.4500,2.0327,9412753,876449,18825506,876449,8307770,578939,16615540,578939,1672161,66941,3216643,66941,16,8161,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,218.9,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,diffuse_1,A,11400714819323198485,1600666986228911999,1024,1024,16384,closest_improves_incumbent,oracle_sample_match,127679,19120,1863542,1883930,569539,1883930,275718,1608212,0,1444877,0.000000,0.766948,0.853647,63950,33165,7302,0.518608,33385,7285,0.522048,20159,21711,0.315231,27302,8667,0.426927,28624,8343,0.447600,0.514126,0.522979,1,surface_density,0.522048,-0.3440,-0.5697,-0.1190,11538342,1670296,23076684,1670296,8464237,753271,16928474,753271,1863542,122846,3599405,122846,19,19127,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,388.1,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,diffuse_1,B,14029467366897019727,14345143039870854015,1024,1024,16384,closest_improves_incumbent,oracle_sample_match,127679,18960,1866157,1886508,571907,1886508,274215,1612293,0,1445212,0.000000,0.766078,0.854644,63230,32876,7198,0.519943,33008,7186,0.522031,19789,21448,0.312969,27011,8560,0.427186,28285,8229,0.447335,0.515407,0.524585,1,surface_density,0.522031,-0.2088,-0.4306,0.0333,11581213,1684405,23162426,1684405,8480011,758109,16960022,758109,1866157,123358,3604635,123358,18,18962,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,388.7,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,incoherent,A,11400714819323198485,17736773438954655807,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,10731,358335,405317,366264,405317,184145,221172,0,231850,0.000000,0.572021,0.545677,42924,22965,3482,0.535015,22641,3454,0.527467,15082,11547,0.351365,18215,4470,0.424355,18903,4431,0.440383,0.529899,0.539947,1,surface_density,0.527467,0.7548,0.5218,0.9770,3243240,741503,6486480,741503,883677,155212,1767354,155212,358335,42511,700286,42511,18,10745,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,135.1,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
d1_large_sampled_2026_08_31,970f092,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,incoherent,B,14029467366897019727,4758568597345739224,128,128,16384,closest_improves_incumbent,oracle_sample_match,16384,10545,345756,390331,350631,390331,178390,211941,0,225138,0.000000,0.576787,0.542978,41099,22075,3435,0.537118,21810,3411,0.530670,14119,11206,0.343536,17323,4397,0.421494,17902,4356,0.435582,0.531898,0.542028,1,surface_density,0.530670,0.6448,0.4029,0.8969,3065699,697782,6131398,697782,842501,144211,1685002,144211,345756,40587,675128,40587,18,10567,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,125.9,442.0,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
