run_id,git_commit,dirty,scene,scene_sha256,triangles,builder,bins,max_leaf_size,layout,mode,threads,nodes,max_depth,ray_set,ray_seed,ray_seed_value,rayset_hash,width,height,incoherent_count,query_kind,validation,rays,rays_with_pairs,parent_visits,candidate_events,candidate_events_in_pair_rows,valid_candidate_events,relevant_hit_events,false_positive_events,invalid_events,saturated_events,invalid_rate,saturation_rate,false_positive_rate,discordant_pairs,directional_correct,directional_ties,directional_accuracy,surface_density_correct,surface_density_ties,surface_density_accuracy,primitive_count_correct,primitive_count_ties,primitive_count_accuracy,box_surface_ratio_correct,box_surface_ratio_ties,box_surface_ratio_accuracy,box_projected_ratio_correct,box_projected_ratio_ties,box_projected_ratio_accuracy,directional_mean_fill_correct,directional_mean_fill_ties,directional_mean_fill_accuracy,directional_min_fill_correct,directional_min_fill_ties,directional_min_fill_accuracy,fill_mean_clamp_a0_correct,fill_mean_clamp_a0_ties,fill_mean_clamp_a0_accuracy,fill_mean_clamp_a05_correct,fill_mean_clamp_a05_ties,fill_mean_clamp_a05_accuracy,fill_mean_clamp_a2_correct,fill_mean_clamp_a2_ties,fill_mean_clamp_a2_accuracy,fill_mean_exp_correct,fill_mean_exp_ties,fill_mean_exp_accuracy,fill_min_clamp_correct,fill_min_clamp_ties,fill_min_clamp_accuracy,directional_ci_lo,directional_ci_hi,ci_valid,best_control,best_control_accuracy,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,probe_node_steps,probe_prim_steps,probe_box_tests,probe_tri_tests,false_positive_node_steps,false_positive_prim_steps,false_positive_box_tests,false_positive_tri_tests,trace_node_steps,trace_prim_steps,trace_box_tests,trace_tri_tests,trace_max_stack,trace_hits,support_ok,support_min_valid_events,support_min_pairs,bootstrap_seed,bootstrap_samples,analysis_ms,descriptor_ms,source_analytic,source_probe_steps,source_trace_steps
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,diffuse_1,A,11400714819323198485,6166606655053877372,128,128,262144,closest_improves_incumbent,oracle_sample_match,2259,1272,169730,221160,142917,221160,32400,188760,0,46188,0.000000,0.208844,0.853500,10755,6282,0,0.584100,6215,0,0.577871,5160,1693,0.479777,5392,0,0.501348,5493,0,0.510739,4934,2362,0.458763,6171,0,0.573780,4919,2362,0.457369,4914,2362,0.456904,4927,2362,0.458113,6189,0,0.575453,4878,2362,0.453556,0.575097,0.593454,1,surface_density,0.577871,0.6230,0.1264,1.1134,2615351,1136528,5230702,1136528,1491248,673907,2982496,673907,169730,48407,337201,48407,19,1272,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,163.5,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,diffuse_1,B,14029467366897019727,601445350524603615,128,128,262144,closest_improves_incumbent,oracle_sample_match,2259,1262,171470,223155,141761,223155,32126,191029,0,46616,0.000000,0.208895,0.856037,10673,6209,0,0.581748,6118,0,0.573222,4980,1744,0.466598,5323,0,0.498735,5452,0,0.510822,4764,2454,0.446360,5977,0,0.560011,4771,2454,0.447016,4780,2454,0.447859,4746,2454,0.444673,6086,0,0.570224,4681,2454,0.438583,0.572827,0.591224,1,surface_density,0.573222,0.8526,0.3498,1.3899,2624606,1134947,5249212,1134947,1522855,684774,3045710,684774,171470,48771,340681,48771,20,1262,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,163.4,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,incoherent,A,11400714819323198485,12723985330855343560,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,119041,14482681,18635416,14431811,18635416,3173877,15461539,0,4664817,0.000000,0.250320,0.829686,1032975,601878,0,0.582665,593998,0,0.575036,497928,167297,0.482033,523079,19,0.506381,535967,19,0.518858,453856,258807,0.439368,586434,0,0.567714,450834,258807,0.436442,452215,258807,0.437779,453430,258807,0.438955,592754,0,0.573832,447916,258807,0.433617,0.581759,0.583554,1,surface_density,0.575036,0.7628,0.7091,0.8140,222346791,93828562,444693582,93828562,105990396,46553949,211980792,46553949,14482681,3854023,28703218,3854023,22,119042,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,13378.3,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,hairball.obj,1fc018d947fbd9d5099dea9bc104ae38a708f25ac2dedeb1f5b722ac79b96465,2880000,binned_sah,32,1,bvh2/slot32_aos,robust,1,5759999,34,incoherent,B,14029467366897019727,7725292624438403857,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,118967,14505877,18667925,14484944,18667925,3168085,15499840,0,4659338,0.000000,0.249591,0.830293,1033250,603806,0,0.584376,595665,0,0.576496,498770,166843,0.482720,523938,24,0.507078,536809,24,0.519534,455058,259371,0.440414,587609,0,0.568700,452107,259371,0.437558,453434,259371,0.438842,454526,259371,0.439899,594159,0,0.575039,448867,259371,0.434422,0.583471,0.585332,1,surface_density,0.576496,0.7879,0.7365,0.8372,222779867,94076304,445559734,94076304,106283793,46739536,212567586,46739536,14505877,3861324,28749610,3861324,23,118968,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,13372.2,118.5,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,primary,A,11400714819323198485,3781558343774615031,128,128,262144,closest_improves_incumbent,oracle_sample_match,16384,1994,62880,60394,55100,60394,32915,27479,0,38260,0.000000,0.633507,0.454996,6677,3491,825,0.522840,3475,823,0.520443,1848,2058,0.276771,3183,979,0.476711,3182,967,0.476561,2587,2644,0.387449,2977,1055,0.445859,2357,2637,0.353003,2573,2632,0.385353,2591,2632,0.388049,3521,824,0.527333,2151,2863,0.322151,0.508649,0.536675,1,fill_mean_exp,0.527333,-0.4493,-1.0413,0.1617,418470,131385,836940,131385,87909,27657,175818,27657,62880,7893,109376,7893,15,2000,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,110.9,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,shadow_ao,A,11400714819323198485,14461018699944980875,1024,1024,262144,any_occluder_in_range,oracle_sample_match,127679,8306,1673251,1632789,191305,1632789,116627,1516162,0,1352907,0.000000,0.828587,0.928572,27946,14267,3443,0.510520,13805,3421,0.493988,9285,8498,0.332248,10303,3622,0.368675,10348,3606,0.370286,9639,12595,0.344915,12727,3905,0.455414,8061,12644,0.288449,9342,12579,0.334288,9572,12579,0.342518,13428,3434,0.480498,9076,13047,0.324769,0.504679,0.516229,1,surface_density,0.493988,1.6532,1.3768,1.9231,9436110,878226,18872220,878226,8319989,577781,16639978,577781,1673251,67022,3218823,67022,14,8307,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,609.6,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,shadow_ao,B,14029467366897019727,17592145241872402267,1024,1024,262144,any_occluder_in_range,oracle_sample_match,127679,8161,1672161,1631250,188630,1631250,114252,1516998,0,1351727,0.000000,0.828645,0.929960,27327,13870,3397,0.507557,13397,3382,0.490248,9070,8377,0.331906,9962,3596,0.364548,10007,3574,0.366195,9427,12225,0.344970,12406,3860,0.453983,7815,12268,0.285981,9136,12203,0.334321,9342,12203,0.341860,13106,3390,0.479599,8885,12670,0.325136,0.501872,0.513413,1,surface_density,0.490248,1.7309,1.4500,2.0327,9412753,876449,18825506,876449,8307770,578939,16615540,578939,1672161,66941,3216643,66941,16,8161,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,603.9,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,diffuse_1,A,11400714819323198485,1600666986228911999,1024,1024,262144,closest_improves_incumbent,oracle_sample_match,127679,19120,1863542,1883930,569539,1883930,275718,1608212,0,1444877,0.000000,0.766948,0.853647,63950,33165,7302,0.518608,33385,7285,0.522048,20159,21711,0.315231,27302,8667,0.426927,28624,8343,0.447600,22277,26801,0.348350,29348,9374,0.458921,20368,26668,0.318499,22063,26560,0.345004,22354,26560,0.349554,32085,7304,0.501720,19967,28624,0.312228,0.514126,0.522979,1,surface_density,0.522048,-0.3440,-0.5697,-0.1190,11538342,1670296,23076684,1670296,8464237,753271,16928474,753271,1863542,122846,3599405,122846,19,19127,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,1079.5,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,diffuse_1,B,14029467366897019727,14345143039870854015,1024,1024,262144,closest_improves_incumbent,oracle_sample_match,127679,18960,1866157,1886508,571907,1886508,274215,1612293,0,1445212,0.000000,0.766078,0.854644,63230,32876,7198,0.519943,33008,7186,0.522031,19789,21448,0.312969,27011,8560,0.427186,28285,8229,0.447335,22039,26576,0.348553,28911,9279,0.457235,20061,26424,0.317270,21776,26314,0.344393,22031,26314,0.348426,31793,7197,0.502815,19503,28392,0.308445,0.515407,0.524585,1,surface_density,0.522031,-0.2088,-0.4306,0.0333,11581213,1684405,23162426,1684405,8480011,758109,16960022,758109,1866157,123358,3604635,123358,18,18962,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,848.7,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,incoherent,A,11400714819323198485,8799890937562947332,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,170570,5632795,6362813,5746427,6362813,2901845,3460968,0,3644892,0.000000,0.572843,0.543937,670934,359896,55521,0.536410,355229,55041,0.529454,233309,182078,0.347738,284981,70860,0.424753,295428,70202,0.440323,269668,239269,0.401929,308743,75191,0.460169,255740,239530,0.381170,268381,238847,0.400011,268093,238851,0.399582,352112,55427,0.524809,228140,258563,0.340033,0.535157,0.537650,1,surface_density,0.529454,0.6956,0.6371,0.7557,50716857,11543484,101433714,11543484,13816833,2404131,27633666,2404131,5632795,663391,11003446,663391,20,170778,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,4429.0,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
e2e4_2026_09_02,ca4d67f,1,san-miguel.obj,1e285ee0a46df887eacd0f7882784ac246c157a4ead01dd16b6f0460186711bd,9971513,binned_sah,32,1,bvh2/slot32_aos,robust,1,19943025,62,incoherent,B,14029467366897019727,13815250498764364235,128,128,262144,closest_improves_incumbent,oracle_sample_match,262144,170448,5608428,6333618,5715921,6333618,2890438,3443180,0,3633507,0.000000,0.573686,0.543636,667093,356605,55244,0.534566,352177,54758,0.527928,231317,181187,0.346754,282577,70608,0.423595,292564,69952,0.438566,268020,238180,0.401773,305987,74911,0.458687,253526,238475,0.380046,266579,237760,0.399613,266659,237763,0.399733,349418,55149,0.523792,226564,257478,0.339629,0.533349,0.535844,1,surface_density,0.527928,0.6638,0.6022,0.7246,50391287,11459776,100782574,11459776,13794661,2393491,27589322,2393491,5608428,659556,10954712,659556,22,170717,1,10000,1000,0xD1D1D1D1D1D1D1D1,2000,3439.0,618.9,S-analytic,S-probe-counterfactual,S-cpu-analysis-mirror
