run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
e2e4_2026_09_02,hairball.obj,incoherent,fill_min_clamp,directional_min_fill,0.579300,0.568207,0.011093,0.010718,0.011463,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,directional_mean_fill,fill_min_clamp,0.587136,0.579300,0.007836,0.007276,0.008404,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,fill_mean_exp,directional_min_fill,0.574436,0.568207,0.006229,0.005802,0.006662,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,fill_mean_clamp_a0,fill_min_clamp,0.583278,0.579300,0.003978,0.003371,0.004600,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,directional_mean_fill,fill_mean_clamp_a0,0.587136,0.583278,0.003858,0.003444,0.004251,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,directional_mean_fill,fill_mean_clamp_a05,0.587136,0.585027,0.002109,0.001791,0.002434,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,directional_mean_fill,fill_mean_clamp_a2,0.587136,0.586517,0.000619,0.000157,0.001052,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,incoherent,fill_mean_clamp_a0,surface_density,0.583278,0.575766,0.007511,0.006942,0.008100,yes,1000,0xD1A70000D1A70000,ray,524288,paired
e2e4_2026_09_02,hairball.obj,primary,directional,box_projected_ratio,0.585260,0.516230,0.069030,0.060081,0.078329,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional,surface_density,0.585260,0.577087,0.008173,0.005272,0.011415,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional,primitive_count,0.585260,0.574171,0.011089,0.004844,0.017738,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_min_fill,directional_mean_fill,0.567232,0.594731,-0.027500,-0.033259,-0.021734,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_min_fill,box_projected_ratio,0.567232,0.516230,0.051002,0.042039,0.059796,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,box_projected_ratio,0.594731,0.516230,0.078501,0.069550,0.087516,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,directional,0.594731,0.585260,0.009471,0.004678,0.014620,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_min_fill,directional,0.567232,0.585260,-0.018028,-0.022009,-0.013586,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,surface_density,0.594731,0.577087,0.017645,0.013041,0.022710,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,primitive_count,0.594731,0.574171,0.020560,0.012452,0.028129,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_min_fill,surface_density,0.567232,0.577087,-0.009855,-0.014468,-0.005472,no,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,fill_mean_exp,0.594731,0.577927,0.016804,0.013014,0.020786,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,fill_min_clamp,directional_min_fill,0.585292,0.567232,0.018060,0.014607,0.021838,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,fill_min_clamp,0.594731,0.585292,0.009439,0.004317,0.014717,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,fill_mean_exp,directional_min_fill,0.577927,0.567232,0.010695,0.007057,0.015023,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,fill_mean_clamp_a0,fill_min_clamp,0.590660,0.585292,0.005367,-0.000190,0.011117,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,fill_mean_clamp_a0,0.594731,0.590660,0.004072,0.000179,0.007905,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,fill_mean_clamp_a05,0.594731,0.594361,0.000370,-0.002614,0.003073,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,directional_mean_fill,fill_mean_clamp_a2,0.594731,0.595842,-0.001110,-0.005496,0.003312,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,primary,fill_mean_clamp_a0,surface_density,0.590660,0.577087,0.013573,0.008274,0.019013,yes,1000,0xD1A70000D1A70000,ray,16384,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional,box_projected_ratio,0.585915,0.513551,0.072364,0.062844,0.082231,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional,surface_density,0.585915,0.580689,0.005227,0.001263,0.009268,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional,primitive_count,0.585915,0.567247,0.018669,0.012352,0.025828,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,directional_mean_fill,0.570990,0.585743,-0.014753,-0.021261,-0.008812,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,box_projected_ratio,0.570990,0.513551,0.057438,0.047617,0.066646,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,box_projected_ratio,0.585743,0.513551,0.072192,0.062475,0.082594,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,directional,0.585743,0.585915,-0.000172,-0.005711,0.005284,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,directional,0.570990,0.585915,-0.014925,-0.019909,-0.009937,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,surface_density,0.585743,0.580689,0.005055,-0.000124,0.010176,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,primitive_count,0.585743,0.567247,0.018497,0.010221,0.026546,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,surface_density,0.570990,0.580689,-0.009699,-0.014558,-0.004717,no,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,fill_mean_exp,0.585743,0.577833,0.007910,0.003429,0.012162,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,fill_min_clamp,directional_min_fill,0.579324,0.570990,0.008335,0.004915,0.011720,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,fill_min_clamp,0.585743,0.579324,0.006419,0.000791,0.012247,yes,1000,0xD1A70000D1A70000,ray,4518,paired
e2e4_2026_09_02,hairball.obj,shadow_ao,fill_mean_exp,directional_min_fill,0.577833,0.570990,0.006843,0.002402,0.011475,yes,1000,0xD1A70000D1A70000,ray,4518,paired
