run_id,git_commit,dirty,scene,triangles,view,rayset_hash,rays,variant,loss_kind,mu,is_primary_comparison,width,wide_nodes,emitted_depth,mean_fullness,decisions_changed,decisions_changed_pct,sah_cost,dir_loss_cost,scalar_loss_cost,bvh_bytes,node_steps_per_ray,box_tests_per_ray,prim_steps_per_ray,tri_tests_per_ray,box_hits_per_ray,pruned_pops_per_ray,max_stack,node_steps_pct,box_tests_pct,prim_steps_pct,tri_tests_pct,box_hits_pct,pruned_pops_pct,wide_nodes_pct,hits,correctness,mismatches,tie_ids,rays_used_in_construction,source
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,A,11948788235775219164,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,11927537,49,6.0978,393010,1.9707,29.706674,3.176320,3.562949,381681184,6.5081,43.1772,1.9111,1.9111,10.0303,2.6111,21,-0.013,-0.100,-0.000,-0.000,-0.005,0.013,0.001,259437,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,B,9195041453402854932,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,11927537,49,6.0978,393010,1.9707,29.706674,3.176320,3.562949,381681184,18.6401,140.1627,3.8725,3.8725,25.8332,4.3206,24,-0.296,-0.301,-0.041,-0.041,-0.495,-1.629,0.001,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,C,926090116047900570,262144,directional_mu0.25,sah+Ldir,0.2500,0,8,11927537,49,6.0978,393010,1.9707,29.706674,3.176320,3.562949,381681184,27.6934,212.0302,4.8234,4.8234,35.7937,4.2769,36,0.056,0.041,-0.042,-0.042,-0.115,-1.266,0.001,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,A,11948788235775219164,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,11927993,49,6.0967,636472,3.1915,29.745497,3.076529,3.467862,381695776,6.4999,43.1610,1.9111,1.9111,9.9857,2.5747,20,-0.140,-0.138,-0.001,-0.001,-0.450,-1.381,0.005,259437,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,B,9195041453402854932,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,11927993,49,6.0967,636472,3.1915,29.745497,3.076529,3.467862,381695776,18.1980,136.8459,3.9226,3.9226,25.6396,4.5191,25,-2.661,-2.661,1.252,1.252,-1.241,2.889,0.005,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,C,926090116047900570,262144,directional_mu0.50,sah+Ldir,0.5000,0,8,11927993,49,6.0967,636472,3.1915,29.745497,3.076529,3.467862,381695776,27.8255,213.0717,4.8267,4.8267,35.9268,4.2746,36,0.533,0.533,0.026,0.026,0.256,-1.320,0.005,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,A,11948788235775219164,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,11928873,49,6.0944,894400,4.4848,29.846172,2.937468,3.384035,381723936,6.4945,43.1188,1.9111,1.9111,9.9797,2.5741,20,-0.222,-0.235,-0.001,-0.001,-0.509,-1.404,0.012,259437,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,B,9195041453402854932,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,11928873,49,6.0944,894400,4.4848,29.846172,2.937468,3.384035,381723936,18.2764,137.2808,3.9237,3.9237,25.7631,4.5630,26,-2.242,-2.351,1.282,1.282,-0.765,3.890,0.012,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,C,926090116047900570,262144,directional_mu1.00,sah+Ldir,1.0000,1,8,11928873,49,6.0944,894400,4.4848,29.846172,2.937468,3.384035,381723936,27.8812,213.4962,4.8243,4.8243,35.9492,4.2436,39,0.735,0.733,-0.024,-0.024,0.318,-2.034,0.012,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,A,11948788235775219164,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,11932907,50,6.0839,1138346,5.7080,30.037576,2.808782,3.274466,381853024,6.4819,42.9838,1.9113,1.9113,9.9443,2.5511,18,-0.416,-0.548,0.007,0.007,-0.863,-2.284,0.046,259437,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,B,9195041453402854932,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,11932907,50,6.0839,1138346,5.7080,30.037576,2.808782,3.274466,381853024,18.6674,140.2349,3.7640,3.7640,25.8437,4.4123,26,-0.150,-0.250,-2.841,-2.841,-0.454,0.459,0.046,262144,pass,0,0,0,S-measured
geo_w8_2026_09_01,f5189e1,1,san-miguel.obj,9971513,C,926090116047900570,262144,directional_mu2.00,sah+Ldir,2.0000,0,8,11932907,50,6.0839,1138346,5.7080,30.037576,2.808782,3.274466,381853024,29.1840,223.8720,4.8273,4.8273,37.2581,4.2468,39,5.442,5.628,0.039,0.039,3.971,-1.962,0.046,262144,pass,0,0,0,S-measured
