run_id,scene,ray_distribution,score_a,score_b,win_rate_a,win_rate_b,delta,delta_ci_lo,delta_ci_hi,a_beats_b,bootstrap_resamples,bootstrap_seed,cluster_unit,cluster_population,pairing
gateb_2026_09_02,hairball.obj,shadow_ao,directional,surface_density,0.585915,0.580689,0.005227,0.001263,0.009268,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional,primitive_count,0.585915,0.567247,0.018669,0.012352,0.025828,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,directional_mean_fill,0.570990,0.585743,-0.014753,-0.021261,-0.008812,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,box_projected_ratio,0.570990,0.513551,0.057438,0.047617,0.066646,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,box_projected_ratio,0.585743,0.513551,0.072192,0.062475,0.082594,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,directional,0.585743,0.585915,-0.000172,-0.005711,0.005284,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,directional,0.570990,0.585915,-0.014925,-0.019909,-0.009937,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,surface_density,0.585743,0.580689,0.005055,-0.000124,0.010176,inconclusive,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_mean_fill,primitive_count,0.585743,0.567247,0.018497,0.010221,0.026546,yes,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,hairball.obj,shadow_ao,directional_min_fill,surface_density,0.570990,0.580689,-0.009699,-0.014558,-0.004717,no,1000,0xD1A70000D1A70000,ray,4518,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional,box_projected_ratio,0.554432,0.461278,0.093154,0.065137,0.120208,yes,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional,surface_density,0.554432,0.540645,0.013787,-0.004644,0.031890,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional,primitive_count,0.554432,0.536712,0.017719,-0.013368,0.045262,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,directional_mean_fill,0.537101,0.554701,-0.017601,-0.040130,0.007903,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,box_projected_ratio,0.537101,0.461278,0.075823,0.047300,0.105780,yes,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,box_projected_ratio,0.554701,0.461278,0.093424,0.064395,0.123305,yes,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,directional,0.554701,0.554432,0.000270,-0.018632,0.020944,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,directional,0.537101,0.554432,-0.017331,-0.039857,0.008222,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,surface_density,0.554701,0.540645,0.014057,-0.005900,0.032665,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_mean_fill,primitive_count,0.554701,0.536712,0.017989,-0.012696,0.050360,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,diffuse_1,directional_min_fill,surface_density,0.537101,0.540645,-0.003544,-0.030257,0.022490,inconclusive,1000,0xD1A70000D1A70000,ray,9142,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional,box_projected_ratio,0.587463,0.490006,0.097457,0.096543,0.098467,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional,surface_density,0.587463,0.594666,-0.007203,-0.007769,-0.006592,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional,primitive_count,0.587463,0.529529,0.057934,0.056899,0.059026,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,directional_mean_fill,0.557816,0.603842,-0.046025,-0.046871,-0.045112,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,box_projected_ratio,0.557816,0.490006,0.067810,0.066802,0.068804,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,box_projected_ratio,0.603842,0.490006,0.113836,0.112795,0.114900,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,directional,0.603842,0.587463,0.016379,0.015709,0.017020,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,directional,0.557816,0.587463,-0.029647,-0.030473,-0.028799,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,surface_density,0.603842,0.594666,0.009176,0.008436,0.009897,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_mean_fill,primitive_count,0.603842,0.529529,0.074313,0.073148,0.075486,yes,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,incoherent,directional_min_fill,surface_density,0.557816,0.594666,-0.036850,-0.037721,-0.035987,no,1000,0xD1A70000D1A70000,ray,524288,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional,box_projected_ratio,0.592508,0.598748,-0.006240,-0.016980,0.004562,inconclusive,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional,surface_density,0.592508,0.638079,-0.045572,-0.053285,-0.037211,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional,primitive_count,0.592508,0.485782,0.106725,0.093954,0.119800,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_min_fill,directional_mean_fill,0.510502,0.577379,-0.066877,-0.076786,-0.056793,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_min_fill,box_projected_ratio,0.510502,0.598748,-0.088246,-0.100825,-0.074775,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,box_projected_ratio,0.577379,0.598748,-0.021369,-0.032891,-0.008722,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,directional,0.577379,0.592508,-0.015128,-0.022987,-0.007133,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_min_fill,directional,0.510502,0.592508,-0.082006,-0.091294,-0.072696,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,surface_density,0.577379,0.638079,-0.060700,-0.069259,-0.051516,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_mean_fill,primitive_count,0.577379,0.485782,0.091597,0.078400,0.105452,yes,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,primary,directional_min_fill,surface_density,0.510502,0.638079,-0.127578,-0.137057,-0.116846,no,1000,0xD1A70000D1A70000,ray,16384,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional,box_projected_ratio,0.539818,0.461943,0.077875,0.073164,0.082126,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional,surface_density,0.539818,0.536983,0.002835,-0.000221,0.006058,inconclusive,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional,primitive_count,0.539818,0.531485,0.008333,0.003535,0.012921,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_min_fill,directional_mean_fill,0.522560,0.585341,-0.062781,-0.066342,-0.058790,no,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_min_fill,box_projected_ratio,0.522560,0.461943,0.060618,0.056064,0.064964,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_mean_fill,box_projected_ratio,0.585341,0.461943,0.123399,0.118345,0.128320,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_mean_fill,directional,0.585341,0.539818,0.045523,0.042431,0.048679,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_min_fill,directional,0.522560,0.539818,-0.017258,-0.020922,-0.013811,no,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_mean_fill,surface_density,0.585341,0.536983,0.048358,0.045593,0.051158,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_mean_fill,primitive_count,0.585341,0.531485,0.053856,0.049549,0.058247,yes,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,intel-sponza.obj,shadow_ao,directional_min_fill,surface_density,0.522560,0.536983,-0.014423,-0.018311,-0.010336,no,1000,0xD1A70000D1A70000,ray,585026,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional,box_projected_ratio,0.586093,0.514511,0.071583,0.068219,0.075142,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional,surface_density,0.586093,0.589066,-0.002972,-0.004832,-0.001148,no,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional,primitive_count,0.586093,0.475453,0.110641,0.105917,0.115000,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_min_fill,directional_mean_fill,0.536816,0.600463,-0.063648,-0.066908,-0.059978,no,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_min_fill,box_projected_ratio,0.536816,0.514511,0.022305,0.018852,0.025767,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_mean_fill,box_projected_ratio,0.600463,0.514511,0.085953,0.081824,0.089916,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_mean_fill,directional,0.600463,0.586093,0.014370,0.011485,0.017177,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_min_fill,directional,0.536816,0.586093,-0.049278,-0.052399,-0.046304,no,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_mean_fill,surface_density,0.600463,0.589066,0.011398,0.008448,0.014173,yes,1000,0xD1A70000D1A70000,ray,255358,paired
gateb_2026_09_02,san-miguel.obj,diffuse_1,directional_mean_fill,primitive_count,0.600463,0.475453,0.125011,0.120281,0.129852,yes,1000,0xD1A70000D1A70000,ray,255358,paired
